	EC number
1351	6.1.1.11
1352	1.14.13.244
1353	2.8.2.5
1354	2.3.2.6
1355	2.3.1.155
1356	3.5.4.37
1357	3.1.2.21
1358	3.1.3.105
1359	4.2.1.10
1360	7.5.2.11
1361	3.1.3.10
1362	1.7.1.6
1363	3.13.1.7
1364	3.5.1.136
1365	2.4.2.50
1366	1.14.19.51
1367	1.4.3.10
1368	4.2.2.7
1369	5.1.3.7
1370	2.4.1.309
1371	1.17.99.3
1372	4.1.1.18
1373	4.1.1.35
1374	1.18.1.1
1375	1.4.1.20
1376	2.5.1.128
1377	2.8.2.11
1378	2.8.2.37
1379	6.3.2.34
1380	3.4.21.49
1381	2.7.7.78
1382	1.14.11.n2
1383	1.3.5.5
1384	1.13.11.37
1385	6.3.4.13
1386	2.1.1.10
1387	1.6.3.2
1388	2.1.1.154
1389	1.3.1.84
1390	1.3.98.1
1391	2.7.11.23
1392	4.1.1.102
1393	2.1.1.294
1394	4.1.2.61
1395	1.3.1.71
1396	1.3.1.107
1397	4.1.2.59
1398	1.14.99.67
1399	1.14.14.45
1400	2.5.1.n9
1401	4.2.1.28
1402	2.3.1.189
1403	2.8.3.8
1404	3.4.23.15
1405	2.3.2.5
1406	1.14.99.62
1407	2.4.2.4
1408	2.3.2.29
1409	5.4.99.12
1410	3.5.1.92
1411	2.6.1.66
1412	1.1.1.316
1413	1.14.19.77
1414	1.1.1.23
1415	1.5.4.1
1416	2.1.1.152
1417	3.1.1.26
1418	1.14.11.31
1419	1.14.14.156
1420	2.5.1.142
1421	4.99.1.10
1422	1.14.14.94
1423	1.3.1.60
1424	3.1.3.34
1425	3.2.1.154
1426	2.1.1.249
1427	3.1.3.66
1428	4.2.1.137
1429	5.3.3.21
1430	1.14.99.15
1431	2.1.1.352
1432	3.5.99.8
1433	4.2.3.70
1434	1.14.11.51
1435	2.1.1.261
1436	3.1.1.82
1437	1.14.13.237
1438	3.1.4.2
1439	1.3.1.38
1440	2.7.7.62
1441	5.4.99.51
1442	3.5.4.41
1443	1.14.15.30
1444	1.9.6.1
1445	7.6.2.13
1446	5.4.3.3
1447	1.14.14.152
1448	4.2.3.176
1449	2.3.3.5
1450	3.2.1.101
1451	2.1.3.10
1452	2.4.2.58
1453	1.3.98.3
1454	1.7.1.15
1455	2.1.1.275
1456	1.21.98.4
1457	2.4.2.19
1458	2.3.1.18
1459	1.1.1.420
1460	1.14.11.56
1461	3.2.1.166
1462	1.14.15.17
1463	3.2.1.n3
1464	4.2.2.3
1465	2.7.7.4
1466	2.6.1.114
1467	2.1.1.128
1468	3.6.1.55
1469	1.8.1.8
1470	2.3.1.n6
1471	1.14.99.66
1472	3.6.1.52
1473	3.2.1.18
1474	1.13.11.24
1475	2.1.1.232
1476	1.3.1.96
1477	1.2.1.7
1478	2.7.11.4
1479	4.3.2.5
1480	3.5.1.18
1481	1.14.99.63
1482	1.5.1.5
1483	4.1.1.2
1484	1.21.3.6
1485	1.1.99.40
1486	5.3.1.28
1487	2.6.1.81
1488	3.2.1.46
1489	2.3.3.19
1490	2.7.8.37
1491	3.4.21.82
1492	2.1.1.306
1493	2.7.1.194
1494	2.1.1.333
1495	3.1.1.1
1496	3.5.1.13
1497	1.1.99.38
1498	1.7.1.4
1499	3.4.13.23
1500	2.8.2.4
1501	3.1.1.112
1502	1.2.1.83
1503	1.14.15.35
1504	2.7.9.2
1505	2.7.7.89
1506	2.4.1.276
1507	1.3.8.9
1508	1.14.13.122
1509	2.7.1.73
1510	1.3.1.124
1511	2.3.1.266
1512	1.1.1.72
1513	5.4.2.3
1514	2.6.1.14
1515	1.3.1.70
1516	1.3.1.13
1517	3.4.24.81
1518	5.1.1.8
1519	2.7.1.225
1520	2.5.1.61
1521	2.4.1.384
1522	2.3.1.158
1523	2.3.1.225
1524	3.2.2.31
1525	4.2.1.131
1526	1.14.15.13
1527	1.14.14.60
1528	1.1.1.301
1529	1.13.11.71
1530	1.4.3.26
1531	1.1.2.4
1532	1.13.11.12
1533	2.3.1.101
1534	1.1.1.178
1535	6.2.1.32
1536	1.4.3.25
1537	6.3.4.12
1538	2.7.1.108
1539	1.1.1.212
1540	3.13.1.8
1541	1.20.1.1
1542	2.7.2.15
1543	4.2.3.30
1544	4.2.1.76
1545	3.5.1.111
1546	3.3.1.1
1547	1.7.99.1
1548	1.14.14.128
1549	4.1.1.108
1550	4.7.1.1
1551	2.7.1.92
1552	3.2.1.141
1553	1.14.11.46
1554	3.2.1.184
1555	1.14.11.30
1556	1.17.99.9
1557	4.2.1.159
1558	3.4.11.6
1559	2.1.1.181
1560	6.2.1.7
1561	2.7.1.209
1562	3.1.1.32
1563	4.1.2.8
1564	2.3.1.172
1565	2.3.1.197
1566	2.1.1.137
1567	3.1.1.23
1568	4.2.1.1
1569	2.1.1.11
1570	3.2.1.196
1571	1.14.19.70
1572	2.4.99.18
1573	4.6.1.13
1574	1.14.14.108
1575	2.3.1.201
1576	1.1.3.9
1577	3.2.1.38
1578	6.3.2.5
1579	3.1.3.93
1580	1.14.13.7
1581	2.3.1.116
1582	2.5.1.121
1583	1.14.19.15
1584	2.1.1.100
1585	3.4.24.19
1586	3.1.1.74
1587	3.4.22.39
1588	4.3.99.3
1589	3.5.99.10
1590	4.1.2.48
1591	2.4.2.64
1592	1.1.1.66
1593	1.3.1.43
1594	4.2.3.130
1595	3.4.21.99
1596	4.5.1.5
1597	3.1.21.8
1598	2.1.1.220
1599	2.4.1.225
1600	5.1.1.20
1601	1.14.11.75
1602	3.1.3.106
1603	1.1.1.281
1604	2.1.1.182
1605	2.1.1.309
1606	2.1.1.318
1607	1.14.19.44
1608	1.14.13.239
1609	4.2.1.118
1610	6.1.1.15
1611	2.3.1.159
1612	2.3.1.275
1613	2.8.3.6
1614	1.3.99.38
1615	4.2.3.94
1616	2.1.1.299
1617	2.7.4.6
1618	4.2.1.171
1619	1.14.19.13
1620	1.1.1.336
1621	7.6.2.11
1622	4.1.2.17
1623	4.2.3.11
1624	1.5.3.13
1625	3.1.3.92
1626	2.1.1.242
1627	3.4.17.11
1628	3.4.24.55
1629	1.13.11.64
1630	3.1.3.22
1631	2.7.1.231
1632	4.2.1.167
1633	5.4.99.34
1634	2.5.1.32
1635	2.1.1.328
1636	2.4.1.79
1637	1.4.5.1
1638	3.4.24.34
1639	1.3.99.4
1640	2.7.7.19
1641	2.7.1.228
1642	2.3.1.293
1643	1.5.5.3
1644	2.1.1.57
1645	3.4.21.107
1646	1.14.11.28
1647	1.3.1.104
1648	2.7.4.26
1649	2.2.1.11
1650	3.3.2.10
1651	2.1.1.22
1652	2.6.1.22
1653	2.7.1.147
1654	1.2.1.89
1655	2.1.1.341
1656	1.1.1.138
1657	3.4.21.89
1658	2.1.1.215
1659	3.6.1.60
1660	2.7.1.200
1661	1.1.1.201
1662	2.7.1.230
1663	2.5.1.112
1664	3.1.3.90
1665	1.14.11.27
1666	1.3.8.12
1667	2.1.1.44
1668	1.14.19.64
1669	3.1.3.41
1670	1.14.14.90
1671	6.3.2.3
1672	5.1.1.17
1673	1.14.14.15
1674	1.14.14.16
1675	3.4.24.3
1676	6.3.4.15
1677	6.5.1.9
1678	2.7.11.18
1679	3.4.11.19
1680	1.2.1.69
1681	2.7.7.93
1682	6.2.1.47
1683	2.4.1.134
1684	2.1.1.219
1685	2.7.7.39
1686	1.5.1.11
1687	1.1.1.274
1688	3.8.1.9
1689	2.7.7.1
1690	4.1.1.7
1691	3.4.22.40
1692	1.2.1.85
1693	2.1.3.15
1694	1.13.11.18
1695	4.2.99.21
1696	3.1.1.86
1697	1.4.1.24
1698	3.1.1.103
1699	2.7.1.85
1700	1.1.1.18
1701	2.1.1.118
1702	3.4.21.94
1703	1.7.7.2
1704	3.2.1.26
1705	2.4.1.328
1706	4.1.1.121
1707	2.3.1.212
1708	2.4.1.44
1709	1.14.99.22
1710	1.14.19.23
1711	2.1.1.272
1712	1.16.1.7
1713	4.1.1.74
1714	3.5.1.46
1715	1.5.3.7
1716	2.3.1.67
1717	1.18.1.6
1718	2.7.7.102
1719	3.5.4.29
1720	2.8.1.2
1721	2.1.1.113
1722	2.1.1.325
1723	3.4.21.111
1724	2.6.1.77
1725	4.99.1.2
1726	2.7.1.56
1727	2.3.1.17
1728	3.1.3.79
1729	2.7.1.179
1730	4.2.3.6
1731	5.4.99.24
1732	3.2.1.175
1733	3.4.24.67
1734	2.7.2.1
1735	1.1.1.87
1736	2.4.1.4
1737	2.1.1.37
1738	2.7.11.32
1739	2.4.2.8
1740	4.1.3.38
1741	1.17.7.2
1742	1.14.13.208
1743	3.4.24.41
1744	2.7.1.202
1745	3.4.22.41
1746	6.1.1.17
1747	7.4.2.11
1748	2.4.1.88
1749	5.3.1.26
1750	4.2.1.117
1751	4.2.3.117
1752	2.1.1.173
1753	3.1.1.20
1754	4.4.1.4
1755	1.14.16.5
1756	2.1.1.267
1757	1.16.3.2
1758	4.1.1.86
1759	1.5.1.23
1760	6.2.1.45
1761	2.7.8.35
1762	1.13.11.65
1763	3.2.1.55
1764	1.13.11.5
1765	2.5.1.44
1766	2.7.1.190
1767	2.7.8.11
1768	2.5.1.1
1769	1.14.13.236
1770	6.3.1.8
1771	2.3.1.228
1772	1.14.13.181
1773	2.1.1.280
1774	4.2.1.151
1775	1.16.1.1
1776	1.14.14.65
1777	5.4.99.63
1778	2.1.1.303
1779	1.1.3.37
1780	4.2.3.82
1781	1.13.12.2
1782	3.1.1.91
1783	2.4.2.43
1784	1.14.14.89
1785	3.5.4.1
1786	1.20.4.1
1787	1.3.99.33
1788	3.1.4.41
1789	2.4.1.192
1790	4.2.3.86
1791	2.4.1.15
1792	2.3.1.4
1793	1.14.99.44
1794	3.1.3.2
1795	1.14.13.83
1796	5.4.99.31
1797	2.7.4.25
1798	1.14.19.16
1799	2.5.1.27
1800	2.6.1.62
1801	1.14.14.166
1802	5.3.3.5
1803	3.4.24.65
1804	2.3.2.27
1805	3.1.3.95
1806	1.16.1.8
1807	2.3.1.71
1808	1.14.11.61
1809	2.4.1.315
1810	1.12.98.1
1811	1.14.14.99
1812	6.3.2.43
1813	1.3.99.39
1814	1.10.3.11
1815	3.5.1.78
1816	4.3.2.7
1817	2.1.1.273
1818	1.14.11.6
1819	3.2.1.8
1820	1.1.1.236
1821	5.1.2.1
1822	3.1.3.9
1823	3.5.3.12
1824	7.6.2.8
1825	1.14.14.29
1826	3.1.1.31
1827	1.18.1.7
1828	2.7.11.1
1829	2.3.1.299
1830	1.11.1.22
1831	2.3.1.n7
1832	2.7.1.16
1833	2.3.1.234
1834	3.2.1.150
1835	2.1.1.116
1836	1.11.1.23
1837	5.3.4.1
1838	1.1.1.51
1839	3.5.1.126
1840	3.4.13.19
1841	2.5.1.111
1842	2.3.1.12
1843	1.2.1.78
1844	3.5.2.10
1845	2.3.1.53
1846	2.3.1.150
1847	3.5.1.88
1848	4.2.99.18
1849	1.3.8.3
1850	3.7.1.5
1851	4.2.1.146
1852	1.14.19.20
1853	1.1.1.365
1854	4.6.1.23
1855	2.1.1.217
1856	3.4.21.85
1857	4.1.2.22
1858	2.7.1.162
1859	1.1.1.391
1860	2.1.1.245
1861	2.5.1.62
1862	7.2.2.13
1863	4.1.3.32
1864	1.14.12.7
1865	4.1.2.63
1866	3.6.1.56
1867	4.3.1.24
1868	4.1.1.63
1869	2.8.3.5
1870	2.5.1.108
1871	2.7.1.224
1872	2.4.1.300
1873	1.3.3.13
1874	4.2.1.104
1875	3.6.1.12
1876	2.7.7.3
1877	3.5.1.23
1878	3.1.5.1
1879	2.5.1.129
1880	3.4.23.49
1881	4.2.3.23
1882	2.4.2.7
1883	3.2.1.15
1884	2.3.1.187
1885	3.6.1.61
1886	3.1.1.90
1887	2.3.3.9
1888	2.3.2.2
1889	3.4.21.19
1890	2.4.99.2
1891	3.4.16.2
1892	1.1.1.47
1893	2.5.1.97
1894	4.2.3.51
1895	4.2.1.173
1896	2.7.1.146
1897	4.4.1.9
1898	2.8.2.25
1899	3.4.17.22
1900	3.4.16.6
1901	2.3.3.15
1902	2.7.4.27
1903	1.2.1.48
1904	1.14.15.4
1905	3.4.24.72
1906	3.4.13.20
1907	2.6.1.102
1908	2.7.1.12
1909	1.2.1.44
1910	1.13.12.5
1911	6.1.1.27
1912	1.1.1.268
1913	1.5.8.1
1914	2.1.1.344
1915	2.1.1.68
1916	3.5.1.132
1917	1.1.1.60
1918	2.8.2.36
1919	1.1.1.208
1920	4.2.1.138
1921	2.7.1.6
1922	2.4.1.340
1923	2.7.8.34
1924	3.6.1.15
1925	2.3.1.188
1926	2.7.1.180
1927	1.14.14.62
1928	3.2.1.54
1929	2.1.1.270
1930	3.5.2.2
1931	2.1.1.107
1932	3.1.6.1
1933	2.1.1.96
1934	4.1.3.30
1935	2.4.2.38
1936	2.1.1.369
1937	2.5.1.6
1938	1.14.11.24
1939	5.5.1.24
1940	1.3.1.49
1941	1.14.19.6
1942	5.3.1.32
1943	3.1.1.34
1944	3.13.1.4
1945	5.4.99.22
1946	2.7.4.3
1947	1.1.1.257
1948	3.1.1.87
1949	3.5.1.101
1950	2.4.2.24
1951	2.5.1.28
1952	2.3.1.1
1953	5.3.1.9
1954	2.4.1.237
1955	3.2.1.177
1956	3.4.22.15
1957	1.1.98.6
1958	3.4.24.37
1959	5.1.3.6
1960	2.1.1.201
1961	4.1.1.25
1962	2.7.1.71
1963	3.5.4.31
1964	3.7.1.24
1965	6.4.1.3
1966	2.4.1.278
1967	3.4.22.54
1968	2.7.7.67
1969	2.1.1.276
1970	1.4.1.17
1971	2.5.1.150
1972	2.7.8.26
1973	4.2.3.37
1974	6.3.4.3
1975	7.6.2.15
1976	2.6.1.109
1977	2.4.2.41
1978	6.3.2.59
1979	1.14.11.73
1980	1.14.13.29
1981	2.6.1.98
1982	3.2.1.78
1983	2.1.1.340
1984	2.1.1.286
1985	1.1.1.370
1986	3.6.1.73
1987	1.1.1.418
1988	2.3.1.196
1989	5.1.3.40
1990	2.3.1.182
1991	2.1.1.n7
1992	4.2.1.128
1993	5.4.2.12
1994	2.8.2.35
1995	2.4.1.277
1996	3.6.2.1
1997	2.3.1.64
1998	1.3.1.54
1999	2.5.1.60
2000	1.2.1.72
2001	3.4.24.22
2002	3.4.24.35
2003	2.4.1.346
2004	2.1.1.375
2005	1.14.13.228
2006	3.1.3.89
2007	6.1.1.20
2008	1.21.4.1
2009	2.1.1.122
2010	2.3.1.296
2011	1.14.19.47
2012	1.14.15.1
2013	3.1.4.39
2014	2.1.1.259
2015	3.4.22.68
2016	1.2.1.54
2017	1.8.98.7
2018	3.2.1.126
2019	4.2.1.20
2020	2.7.1.11
2021	1.1.1.344
2022	1.13.11.79
2023	6.1.1.14
2024	2.3.1.218
2025	1.5.7.2
2026	2.7.1.127
2027	4.2.2.23
2028	1.1.1.310
2029	2.7.1.91
2030	1.14.14.35
2031	3.2.1.59
2032	5.2.1.1
2033	1.1.1.225
2034	2.3.1.264
2035	2.3.1.78
2036	3.1.2.31
2037	1.14.14.78
2038	1.13.12.9
2039	2.4.1.58
2040	1.7.1.3
2041	2.8.2.14
2042	3.1.1.57
2043	1.13.12.23
2044	1.14.11.40
2045	1.7.2.4
2046	3.4.22.71
2047	6.3.2.36
2048	2.4.1.323
2049	1.14.19.37
2050	2.1.1.357
2051	4.4.1.13
2052	1.2.1.88
2053	4.1.1.117
2054	4.2.1.162
2055	1.14.19.53
2056	4.1.2.57
2057	3.2.1.3
2058	4.2.1.130
2059	1.1.1.119
2060	5.1.1.5
2061	1.1.1.69
2062	2.1.1.189
2063	5.4.4.3
2064	1.14.14.3
2065	1.14.16.7
2066	5.5.1.17
2067	3.5.3.4
2068	4.1.1.15
2069	1.2.99.8
2070	4.2.3.170
2071	2.8.1.14
2072	6.3.4.5
2073	1.17.2.2
2074	2.3.1.25
2075	3.1.3.88
2076	3.4.21.70
2077	2.7.1.72
2078	4.2.3.102
2079	3.2.1.24
2080	1.14.14.102
2081	4.1.1.91
2082	7.2.2.12
2083	2.7.7.30
2084	5.3.99.5
2085	2.4.1.21
2086	2.1.1.308
2087	1.5.1.38
2088	2.6.1.63
2089	1.1.3.13
2090	4.99.1.12
2091	4.2.3.139
2092	1.14.99.57
2093	3.2.2.5
2094	6.3.2.2
2095	1.14.14.54
2096	7.2.1.3
2097	2.3.2.23
2098	1.1.1.243
2099	2.3.1.246
2100	1.1.1.326
2101	1.14.14.139
2102	3.5.1.125
2103	1.14.12.22
2104	1.14.99.50
2105	1.13.11.77
2106	3.1.1.105
2107	3.2.1.22
2108	1.1.1.305
2109	3.1.11.6
2110	1.1.99.32
2111	3.6.1.25
2112	1.2.1.97
2113	6.2.1.50
2114	1.1.1.255
2115	1.14.13.235
2116	5.4.99.53
2117	1.1.1.286
2118	3.1.1.116
2119	4.2.3.32
2120	6.2.1.57
2121	2.5.1.101
2122	4.2.1.75
2123	2.4.1.326
2124	4.2.3.171
2125	1.3.1.22
2126	4.1.1.105
2127	2.7.1.168
2128	1.1.1.352
2129	2.3.1.30
2130	3.2.1.68
2131	3.4.17.14
2132	4.1.2.4
2133	2.4.99.15
2134	2.3.1.57
2135	2.7.11.2
2136	1.11.1.1
2137	1.1.3.48
2138	2.1.1.211
2139	2.3.1.180
2140	2.7.1.208
2141	2.9.1.3
2142	3.2.1.98
2143	2.4.1.90
2144	2.1.1.104
2145	7.1.1.1
2146	1.1.1.42
2147	2.1.1.277
2148	6.2.1.42
2149	2.4.1.142
2150	3.1.3.94
2151	4.2.3.89
2152	2.3.1.84
2153	4.2.1.19
2154	3.4.23.48
2155	1.1.1.144
2156	3.4.21.75
2157	5.5.1.29
2158	6.5.1.6
2159	1.1.1.30
2160	2.4.1.155
2161	4.2.2.6
2162	2.1.1.178
2163	2.3.1.135
2164	4.2.3.93
2165	2.4.1.87
2166	1.14.11.1
2167	2.7.1.100
2168	4.1.1.113
2169	3.4.24.7
2170	2.3.1.89
2171	6.3.2.39
2172	4.1.1.33
2173	2.7.1.66
2174	1.14.14.140
2175	1.3.8.15
2176	1.7.1.1
2177	3.4.17.21
2178	1.14.13.172
2179	2.4.2.57
2180	2.7.2.4
2181	2.5.1.34
2182	1.2.4.4
2183	2.5.1.131
2184	1.5.1.1
2185	1.1.1.100
2186	3.5.1.97
2187	2.3.1.31
2188	1.11.1.21
2189	2.4.1.177
2190	5.1.3.26
2191	1.14.19.21
2192	1.4.1.9
2193	3.4.21.71
2194	2.8.3.22
2195	3.1.1.65
2196	2.4.1.141
2197	6.4.1.4
2198	1.4.3.16
2199	1.1.1.266
2200	2.7.11.26
2201	1.2.1.3
2202	3.4.21.32
2203	1.10.3.1
2204	2.4.1.66
2205	2.5.1.87
2206	3.2.1.179
2207	6.3.1.9
2208	4.2.1.132
2209	2.7.7.59
2210	4.3.1.4
2211	4.1.1.64
2212	3.4.22.65
2213	1.2.1.87
2214	1.5.1.43
2215	2.3.1.39
2216	2.4.1.65
2217	2.7.1.77
2218	3.4.22.8
2219	1.8.7.2
2220	2.3.1.280
2221	3.5.4.5
2222	1.12.1.3
2223	1.14.13.209
2224	1.14.13.226
2225	1.21.3.8
2226	1.2.1.18
2227	1.13.11.48
2228	2.4.1.230
2229	4.99.1.7
2230	4.1.1.47
2231	2.1.3.2
2232	2.4.2.36
2233	4.1.1.37
2234	1.5.1.47
2235	5.1.3.23
2236	1.13.11.69
2237	4.1.2.14
2238	3.2.2.21
2239	4.2.3.132
2240	2.2.1.10
2241	1.14.14.82
2242	2.7.8.28
2243	2.1.2.14
2244	5.4.99.57
2245	2.7.1.103
2246	1.11.1.17
2247	1.1.1.216
2248	3.4.17.4
2249	1.1.1.26
2250	2.7.1.30
2251	6.3.4.20
2252	1.1.5.12
2253	1.14.13.160
2254	2.1.1.187
2255	1.1.1.156
2256	2.1.1.131
2257	4.2.3.34
2258	2.7.7.38
2259	1.14.13.107
2260	5.4.3.8
2261	5.1.3.19
2262	5.5.1.5
2263	2.4.1.211
2264	3.4.22.36
2265	1.14.14.167
2266	2.6.1.38
2267	1.14.11.13
2268	2.4.1.210
2269	1.13.12.6
2270	1.14.14.93
2271	2.5.1.51
2272	2.1.1.356
2273	3.3.2.12
2274	2.5.1.52
2275	4.2.3.33
2276	1.1.5.14
2277	3.6.1.18
2278	4.2.3.167
2279	3.1.1.53
2280	1.3.99.23
2281	1.1.1.16
2282	1.1.3.44
2283	1.14.11.26
2284	6.2.1.22
2285	2.1.1.90
2286	1.6.5.2
2287	4.2.3.24
2288	1.14.11.29
2289	2.3.1.37
2290	3.1.3.103
2291	5.4.99.61
2292	3.4.21.38
2293	4.2.1.39
2294	3.4.17.19
2295	1.14.11.66
2296	2.7.1.177
2297	4.2.3.61
2298	1.3.8.6
2299	3.4.24.78
2300	1.1.1.117
2301	5.4.99.8
2302	2.6.1.83
2303	6.3.1.1
2304	2.7.1.204
2305	1.1.1.130
2306	3.1.3.102
2307	1.1.3.4
2308	2.6.1.112
2309	1.1.1.233
2310	4.1.1.19
2311	3.4.21.21
2312	2.3.1.156
2313	2.4.1.123
2314	6.2.1.26
2315	2.3.2.21
2316	4.2.1.2
2317	1.14.13.101
2318	1.14.13.240
2319	4.4.1.23
2320	3.5.4.38
2321	1.5.3.16
2322	1.1.1.191
2323	1.14.19.1
2324	2.7.7.40
2325	3.4.23.43
2326	1.14.16.4
2327	1.17.7.1
2328	2.6.1.13
2329	2.3.3.16
2330	2.8.1.1
2331	6.1.1.1
2332	3.1.1.102
2333	3.11.1.2
2334	1.14.14.160
2335	1.14.19.35
2336	3.6.1.40
2337	1.1.1.324
2338	2.6.1.73
2339	2.3.1.19
2340	1.13.11.76
2341	1.14.13.81
2342	1.1.1.237
2343	6.3.2.54
2344	2.1.1.238
2345	1.14.20.4
2346	7.1.2.2
2347	5.4.99.26
2348	4.2.1.51
2349	2.3.1.284
2350	1.7.1.14
2351	1.14.14.130
2352	3.2.1.74
2353	2.4.1.195
2354	3.4.22.38
2355	2.3.1.93
2356	3.1.4.52
2357	2.4.1.267
2358	2.1.1.17
2359	2.7.2.7
2360	1.1.1.34
2361	4.1.2.45
2362	1.14.11.74
2363	1.3.1.113
2364	2.7.3.3
2365	4.2.3.16
2366	2.7.11.30
2367	1.14.11.69
2368	3.1.22.1
2369	2.3.1.238
2370	1.6.99.1
2371	2.5.1.148
2372	4.2.1.92
2373	1.14.15.24
2374	3.7.1.23
2375	1.2.7.1
2376	1.14.14.19
2377	6.2.1.71
2378	1.13.11.57
2379	2.4.2.21
2380	3.1.3.101
2381	3.2.1.28
2382	2.1.1.158
2383	3.1.1.96
2384	1.14.13.130
2385	2.4.1.356
2386	2.4.1.27
2387	6.2.1.62
2388	1.14.19.22
2389	1.1.1.169
2390	3.5.4.27
2391	6.3.2.4
2392	3.1.6.12
2393	3.13.1.5
2394	4.1.1.61
2395	2.4.1.213
2396	1.14.14.57
2397	2.1.1.330
2398	2.7.1.182
2399	3.1.3.64
2400	2.1.1.282
2401	5.4.99.49
2402	4.2.1.45
2403	3.2.1.153
2404	2.4.1.254
2405	1.1.99.39
2406	2.4.1.82
2407	3.2.1.106
2408	3.1.3.11
2409	3.1.21.10
2410	1.14.13.131
2411	1.1.1.361
2412	2.3.1.122
2413	1.12.99.6
2414	1.11.1.26
2415	4.2.3.183
2416	1.14.14.148
2417	3.2.2.8
2418	4.3.1.7
2419	2.3.1.75
2420	3.4.18.1
2421	1.2.5.2
2422	3.5.1.81
2423	4.2.3.3
2424	2.3.1.82
2425	3.4.21.4
2426	3.4.19.3
2427	6.3.2.57
2428	2.1.1.n4
2429	2.5.1.96
2430	1.1.99.29
2431	2.4.1.184
2432	1.14.14.13
2433	2.4.1.234
2434	3.1.3.83
2435	3.5.2.5
2436	2.3.1.23
2437	1.1.1.36
2438	2.3.1.50
2439	1.14.13.217
2440	5.1.3.18
2441	3.4.22.56
2442	5.1.1.12
2443	1.14.13.210
2444	2.7.7.5
2445	2.1.2.2
2446	1.14.14.5
2447	1.14.19.33
2448	2.1.1.n8
2449	1.2.1.16
2450	2.5.1.81
2451	3.6.1.72
2452	2.3.1.102
2453	4.2.3.71
2454	2.1.1.257
2455	4.2.1.148
2456	3.8.1.3
2457	1.14.14.145
2458	1.14.14.91
2459	2.1.1.304
2460	1.5.1.33
2461	2.4.1.261
2462	2.3.1.85
2463	4.2.1.110
2464	4.2.1.9
2465	1.1.1.93
2466	1.3.1.90
2467	2.3.1.269
2468	5.4.99.59
2469	3.2.1.119
2470	3.1.1.77
2471	6.2.1.4
2472	2.1.1.227
2473	2.7.8.44
2474	2.6.1.117
2475	3.2.1.49
2476	2.3.1.210
2477	2.6.1.105
2478	1.8.5.2
2479	1.14.13.25
2480	1.1.1.392
2481	1.1.2.6
2482	6.3.5.2
2483	3.1.1.101
2484	1.1.1.331
2485	1.6.2.2
2486	3.6.1.41
2487	1.14.14.63
2488	4.2.3.35
2489	2.7.1.221
2490	1.2.7.7
2491	2.7.7.76
2492	1.14.13.113
2493	3.1.6.8
2494	4.2.3.187
2495	4.2.1.55
2496	2.3.1.298
2497	3.4.21.76
2498	4.1.3.45
2499	1.8.3.6
2500	2.4.2.39
2501	1.14.19.72
2502	1.17.1.9
2503	3.6.5.3
2504	1.1.1.54
2505	2.7.1.130
2506	3.4.17.20
2507	3.1.3.73
2508	7.5.2.12
2509	1.1.5.9
2510	3.6.4.13
2511	3.6.1.66
2512	7.2.2.5
2513	5.5.1.16
2514	1.5.3.21
2515	1.2.3.1
2516	3.5.1.104
2517	2.1.5.1
2518	2.4.2.27
2519	2.1.1.14
2520	1.2.1.101
2521	6.1.3.1
2522	1.3.1.110
2523	5.4.99.27
2524	3.5.1.1
2525	2.4.1.1
2526	2.1.1.71
2527	3.5.5.1
2528	4.2.1.43
2529	2.1.1.50
2530	1.21.3.7
2531	2.7.7.84
2532	2.3.1.285
2533	3.1.3.74
2534	6.3.2.51
2535	4.1.1.12
2536	3.2.1.205
2537	5.4.99.62
2538	3.4.22.30
2539	1.14.14.11
2540	2.1.1.290
2541	2.1.1.2
2542	2.3.1.117
2543	7.5.2.1
2544	1.1.1.295
2545	1.5.1.51
2546	2.7.1.210
2547	1.14.14.154
2548	1.14.14.79
2549	3.3.2.14
2550	1.14.14.159
2551	1.12.98.2
2552	1.1.99.14
2553	2.4.1.135
2554	5.3.3.13
2555	1.1.1.28
2556	1.1.1.262
2557	2.6.1.37
2558	1.1.5.5
2559	6.3.3.7
2560	2.1.1.343
2561	5.3.1.17
2562	1.2.1.71
2563	2.4.2.9
2564	2.1.1.161
2565	1.3.8.13
2566	3.4.22.35
2567	3.5.3.6
2568	1.13.11.61
2569	5.4.2.8
2570	2.1.1.203
2571	4.3.1.29
2572	2.3.1.121
2573	5.4.2.11
2574	1.13.11.51
2575	1.3.99.31
2576	2.5.1.116
2577	1.14.12.17
2578	2.5.1.124
2579	3.6.1.42
2580	1.11.2.1
2581	1.21.98.3
2582	2.7.7.33
2583	4.2.3.106
2584	3.5.5.8
2585	3.2.1.14
2586	3.1.1.111
2587	3.4.21.65
2588	5.4.99.47
2589	1.1.1.294
2590	5.3.3.3
2591	6.4.1.9
2592	1.14.13.189
2593	1.14.13.178
2594	4.2.1.46
2595	3.4.13.4
2596	1.11.1.29
2597	4.2.3.127
2598	1.1.1.312
2599	3.4.21.92
2600	1.14.14.70
2601	3.2.1.93
2602	1.1.1.292
2603	4.2.3.103
2604	1.14.14.27
2605	1.14.18.2
2606	3.2.2.10
2607	5.4.99.42
2608	1.8.4.2
2609	6.2.1.1
2610	1.1.1.334
2611	2.4.1.180
2612	1.1.1.15
2613	4.1.99.2
2614	2.7.7.7
2615	1.14.13.38
2616	7.6.2.2
2617	3.11.1.3
2618	2.7.8.24
2619	6.2.1.8
2620	5.1.2.2
2621	6.3.2.6
