data,model,neg_multiple,metric,mean,ci_lower,ci_upper,id,best_thresholds
random_reaction,rxnfp,1,f1,0.7613768660013354,0.7533225273160075,0.7680125036670747,000fc5f378954a27bf934ccd58241a57,0.010101010101010102
random_reaction,rxnfp,1,binary_precision,0.8775537987960679,0.8692947338866119,0.8819282790916625,000fc5f378954a27bf934ccd58241a57,0.010101010101010102
random_reaction,rxnfp,1,binary_recall,0.6736389243342867,0.667160182516931,0.6798595902660868,000fc5f378954a27bf934ccd58241a57,0.010101010101010102
random_reaction,rxnfp,1,accuracy,0.7889589005005708,0.7845635373671731,0.792038069728638,000fc5f378954a27bf934ccd58241a57,0.010101010101010102
random_reaction,rxnfp,1,roc_auc,0.8838544995651901,0.8796042970879542,0.8886689452008347,000fc5f378954a27bf934ccd58241a57,0.010101010101010102
random_reaction,rxnfp,3,f1,0.6659961638681761,0.6599254103188686,0.6707172641103268,000fc5f378954a27bf934ccd58241a57,0.030303030303030304
random_reaction,rxnfp,3,binary_precision,0.7075000358325396,0.7004078742800226,0.7140983711227793,000fc5f378954a27bf934ccd58241a57,0.030303030303030304
random_reaction,rxnfp,3,binary_recall,0.6300155801974202,0.6219588378811333,0.6386133397919187,000fc5f378954a27bf934ccd58241a57,0.030303030303030304
random_reaction,rxnfp,3,accuracy,0.8427592869061211,0.8405566654957408,0.8470015148853957,000fc5f378954a27bf934ccd58241a57,0.030303030303030304
random_reaction,rxnfp,3,roc_auc,0.8850190842972279,0.8823409295652438,0.8880412925442057,000fc5f378954a27bf934ccd58241a57,0.030303030303030304
random_reaction,rxnfp,5,f1,0.6261290090162067,0.6198262207000135,0.6315457670937604,000fc5f378954a27bf934ccd58241a57,0.010101010101010102
random_reaction,rxnfp,5,binary_precision,0.5864894841579467,0.5802087529944066,0.5925407224682181,000fc5f378954a27bf934ccd58241a57,0.010101010101010102
random_reaction,rxnfp,5,binary_recall,0.6736599313595661,0.6661338777996515,0.6787906578396985,000fc5f378954a27bf934ccd58241a57,0.010101010101010102
random_reaction,rxnfp,5,accuracy,0.8663534439858317,0.863891938175112,0.8694143174965604,000fc5f378954a27bf934ccd58241a57,0.010101010101010102
random_reaction,rxnfp,5,roc_auc,0.8839536412651723,0.8808883380463859,0.8875184670434768,000fc5f378954a27bf934ccd58241a57,0.010101010101010102
random_reaction,rxnfp,10,f1,0.5019132135075475,0.4955249969188704,0.5095075488535129,000fc5f378954a27bf934ccd58241a57,0.20202020202020204
random_reaction,rxnfp,10,binary_precision,0.45841409726201,0.4505784555207647,0.46439749835751654,000fc5f378954a27bf934ccd58241a57,0.20202020202020204
random_reaction,rxnfp,10,binary_recall,0.55356931011599,0.5470815250587949,0.5593559259700729,000fc5f378954a27bf934ccd58241a57,0.20202020202020204
random_reaction,rxnfp,10,accuracy,0.8828734356640616,0.8813093328608463,0.8848410951750377,000fc5f378954a27bf934ccd58241a57,0.20202020202020204
random_reaction,rxnfp,10,roc_auc,0.8835599096158051,0.880984446661248,0.8861406695405364,000fc5f378954a27bf934ccd58241a57,0.20202020202020204
rcmcs,rxnfp,1,f1,0.7023307202285227,0.6910600900128157,0.7090273369970428,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
rcmcs,rxnfp,1,binary_precision,0.9294037209549335,0.92381919810469,0.936329536814457,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
rcmcs,rxnfp,1,binary_recall,0.5659880027703522,0.5537409909363595,0.5750694156942932,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
rcmcs,rxnfp,1,accuracy,0.7603071442326208,0.7544699595609474,0.766235798189871,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
rcmcs,rxnfp,1,roc_auc,0.9170094692008384,0.9115644626907347,0.9214465740872505,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
rcmcs,rxnfp,3,f1,0.6634222496117631,0.6517079741668232,0.673557731795101,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
rcmcs,rxnfp,3,binary_precision,0.8026896614850345,0.7915626113564384,0.8109646025371874,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
rcmcs,rxnfp,3,binary_recall,0.5640573629772917,0.555483746876515,0.5776605183365615,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
rcmcs,rxnfp,3,accuracy,0.8571177546697477,0.8538645773156172,0.86138431542461,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
rcmcs,rxnfp,3,roc_auc,0.914168585564261,0.9102743105033559,0.9172394436864792,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
rcmcs,rxnfp,5,f1,0.6280924780008919,0.6177936550304776,0.6365802346601225,bafce811361c4d19afe7919fb4666fb2,0.010101010101010102
