id,smarts,ni_ids
40,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#7:7]-[#6:8]:[#6:9]-[#6:10]:[#6:11](-[#8:12]):[#6:13]-[#8:14]>>[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#6:13]:[#6:11]1:[#6:10]:[#6:9]:[#6:8]:[#7:7]:1.[#8:12]=[#8:14],['rule1119']
41,[#6:1]1-[#6:2]-[#8:3]-1.[#8:4]-[#6:5]=[#6:6]-[#8:7]>>[#6:1]=[#6:2].[#8:3].[#8:4]=[#6:5]-[#6:6]=[#8:7],['rule0965']
42,[#6:1].[#6:2]-[#16:3]>>[#16:3].[#6:1]-[#6:2],"['rule0087', 'rule0276', 'rule0350', 'rule1072']"
43,[#6:1]1:[#7:2]:[#6:3]:[#6:4]:[#7:5]:[#6:6]-1.[#6:7]=[#8:8].[#8:9].[#8:10]-[#16:11]>>[#6:7]-[#16:11]=[#8:10].[#6:1]1:[#6:6]-[#7:5]-[#6:4]:[#6:3]-[#7:2]-1.[#8:8]=[#8:9],['rule0425']
44,([#6:1]-[#8:2].[#6:3]-[#6:4]=[#8:5])>>[#6:1]-[#8:5]-[#6:4]=[#6:3].[#8:2],['rule0138']
45,[#6:1]-[#6:2]-[#6:3]=[#6:4].[#8:5]>>[#6:1].[#6:2]=[#6:3]-[#6:4]-[#8:5],['rule0635']
46,[#16:1].[#6:2].[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#6:2]-[#16:1].[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1,"['rule0142', 'rule1169']"
47,([#8:1].[#8:2]-[#15:3])>>([#8:2].[#8:1]-[#15:3]),['rule0129']
48,[#6:1]-[#7:2].[#6:3]-[#8:4]>>[#6:3]-[#7:2].[#6:1]-[#8:4],['rule0361']
49,[#6:1]-[#6:2]=[#6:3]-[#6:4]=[#6:5]-[#6:6]=[#6:7]>>[#6:1]=[#6:2]-[#6:3]=[#6:4]-[#6:5]=[#6:6]-[#6:7],['rule0977']
50,[#6:1]-[#8:2].[#8:3]-[#6:4]1-[#6:5]-[#7:6]=[#6:7]-[#7:8]=[#6:9]-1>>[#6:1].[#6:4]1:[#6:5]:[#7:6]:[#6:7]:[#7:8]:[#6:9]:1.[#8:2]=[#8:3],['rule0362']
51,([#7:1].[#6:2]=[#8:3])>>[#6:2]=[#7+:1].[#8:3],['rule0339']
52,([#6:1]-[#8:2].[#6:3]-[#8:4]).[#8:5]>>([#8:2].[#6:3]-[#8:5]).[#6:1]-[#8:4],['rule0384']
53,([#6:1]-[#8:2].[#6:3]-[#16:4])>>([#6:3]-[#8:2].[#6:1]-[#16:4]),['rule0893']
54,[#6:1]-[#7:2]1:[#6:3]:[#6:4]:[#7:5]:[#6:6]:1.[#8:7]>>[#6:1]-[#8:7].[#6:3]1=[#7:2]-[#6:6]=[#7:5]-[#6:4]-1,['rule1159']
55,[#6:1]-[#6:2]=[#6:3]-[#6:4].[#8:5]=[#8:6]>>[#6:1]=[#6:2]-[#6:3]=[#6:4].[#8:5]-[#8:6],['rule0609']
56,[#6:1]-[#7:2].[#8:3].[#8:4]-[#15:5]>>[#6:1]=[#8:4].[#7:2].[#8:3]-[#15:5],"['rule0760', 'rule1160']"
57,[#6:1]1:[#6:2]:[#6:3]:[#7:4]:[#6:5]:[#7:6]:1.[#8:7]-[#8:8]>>[#6:1]1-[#6:2]-[#6:3]-[#7:4]-[#6:5]-[#7:6]-1.[#8:7]=[#8:8],['rule1061']
58,[#6:1]-[#8:2].[#6:3]=[#8:4].[#8:5]=[#16:6]>>[#16:6].[#6:1]-[#6:3]-[#8:4].[#8:2]=[#8:5],['rule1145']
59,[#6:1]-[#6:2]=[#8:3].[#8:4]-[#16:5]>>[#8:4]=[#16:5]-[#6:1]-[#6:2]-[#8:3],['rule1121']
60,[#6:1]=[#8:2].[#8:3]-[#8:4]>>[#6:1].[#8:2].[#8:3]=[#8:4],['rule0419']
61,[#6:1]-[#6:2]-[#6:3]1-[#6:4]-[#6:5]-[#6:6]-[#6:7]=[#6:8]-1.[#8:9]>>([#6:1]=[#6:2].[#6:4]-[#6:3]-[#6:8]-[#6:7]=[#6:6]-[#6:5]-[#8:9]),['rule0455']
62,[#6:1]1:[#6:2]:[#6:3]:[#7:4]:[#6:5]:1.[#6:6]1=[#6:7]-[#7:8]-[#6:9]=[#6:10]-[#6:11]-1.[#8:12]=[#8:13]>>[#6:10]1:[#6:11]:[#6:6]:[#6:7]:[#7+:8]:[#6:9]:1.[#8:12].[#8:13]=[#6:3]1-[#6:2]-[#6:1]:[#6:5]-[#7:4]-1,['rule0923']
63,([#6:1]=[#6:2].[#6:3]-[#8:4])>>[#6:1]1-[#6:2]-[#6:3]-1.[#8:4],['rule0397']
64,[#6:1]-[#7+:2].[#7:3]>>([#7+0:2].[#6:1]-[#7+:3]),['rule0623']
65,[#6:1]-[#6:2]-[#7:3]>>[#6:1]=[#6:2].[#7:3],"['rule0244', 'rule0302']"
66,([#6:1]-[#7:2].[#6:3]-[#7:4])>>[#6:1]-[#7:4].[#6:3]-[#7:2],['rule0785']
67,([#8:1].[#6:2]1=[#7:3]-[#6:4]:[#6:5]-[#7:6]-[#6:7]-1).[#8:8]=[#6:9]-[#8:10]>>[#8:8].[#8:1]-[#6:7](-[#6:2]-[#8:10])-[#7:6]1:[#6:5]:[#6:4]:[#7:3]:[#6:9]:1,['rule1068']
68,([#6:1].[#8:2].[#6:3]=[#6:4]).[#8:5]=[#8:6]>>[#6:1]-[#6:3]-[#6:4]-[#8:2].[#8:5]-[#8:6],['rule1187']
69,([#7:1].[#8:2]=[#6:3]1-[#6:4]=[#6:5]-[#6:6]=[#6:7]-[#6:8]-1=[#8:9])>>[#7:1]-[#6:5]1:[#6:6]:[#6:7]:[#6:8](-[#8:9]):[#6:3](-[#8:2]):[#6:4]:1,['rule1188']
70,[#8:1].[#8:2]-[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#6:7]:[#6:8]:1>>[#8:2]=[#6:3]1-[#6:4]-[#6:5](-[#8:1])-[#6:6]-[#6:7]=[#6:8]-1,['rule1060']
71,[#6:1]-[#6:2]=[#7:3].[#8:4]>>[#7:3]-[#6:2]-[#6:1]-[#8:4],['rule0659']
72,[#6:1]=[#8:2].[#8:3].[#8:4]=[#6:5]1-[#6:6]=[#6:7]-[#6:8]=[#7:9]-1>>[#8:2]-[#6:1]-[#6:5]1:[#6:6]:[#6:7]:[#6:8]:[#7:9]:1.[#8:3]=[#8:4],['rule0888']
73,[#6:1]-[#16+:2].[#6:3]-[#8:4]>>[#16+0:2].[#6:1].[#6:3]=[#8:4],['rule0884']
74,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#8:5]:[#6:6]:1.[#8:7]>>[#8:7]-[#6:4]1-[#6:3]-[#6:2]-[#6:1]:[#6:6]-[#8:5]-1,['rule0375']
75,[#6:1]-[#6:2]=[#6:3]-[#6:4]=[#8:5].[#6:6]1=[#6:7]-[#7:8]-[#6:9]=[#6:10]-[#6:11]-1>>[#6:10]1:[#6:11]:[#6:6]:[#6:7]:[#7+:8]:[#6:9]:1.[#6:1]=[#6:2]-[#6:3]-[#6:4]-[#8:5],['rule0678']
76,[#6:1]-[#8:2].[#6:3]=[#8:4].[#6:5]=[#8:6].[#8:7]>>[#6:1]-[#8:4]-[#6:3]-[#6:5]-[#8:6].[#8:2]-[#8:7],['rule0934']
77,([#6:1]=[#6:2]-[#6:3]=[#6:4]-[#6:5].[#8:6]-[#8:7])>>[#6:5]=[#6:4]-[#6:3]=[#6:2]-[#6:1]-[#8:6].[#8:7],['rule0442']
78,[#6:1]-[#16+:2].[#6:3]=[#6:4]-[#6:5]>>[#16+0:2].[#6:5]=[#6:4]-[#6:3]-[#6:1],['rule0237']
79,[#7:1].[#8:2]=[#6:3]-[#8:4]>>[#6:3]#[#7:1].[#8:2].[#8:4],['rule0242']
80,[#6:1]=[#6:2]-[#6:3]=[#6:4]-[#6:5](-[#8:6])-[#6:7]-[#8:8]>>[#6:7]=[#6:5]-[#6:4]-[#6:3]=[#6:2]-[#6:1].[#8:6]=[#8:8],['rule0984']
81,[#6:1]=[#7:2].[#8:3]-[#6:4]1:[#6:5]:[#6:6]:[#6:7]:[#7:8]:[#6:9]:1>>[#6:1]1-[#6:6]:[#6:7]-[#7:8]-[#6:9]-[#6:4]2(-[#6:5]-[#8:3]-2)-[#7:2]-1,['rule0930']
82,([#6:1].[#6:2]-[#8:3]).[#8:4]-[#15:5]>>([#6:2].[#6:1]-[#8:4]).[#8:3]-[#15:5],"['rule0512', 'rule0513']"
83,([#6:1].[#7:2]).[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7:7]:[#6:8]-1>>[#6:1]-[#7:2].[#6:3]1:[#6:8]-[#7:7]-[#6:6]:[#6:5]-[#6:4]-1,['rule0800']
84,[#6:1]-[#6:2]=[#6:3].[#6:4]-[#8:5].[#6:6]=[#6:7]-[#6:8]-[#6:9]-[#8:10]>>[#6:1]=[#6:2]-[#6:3]-[#6:9]-[#6:8]=[#6:7]-[#6:6]-[#6:4].[#8:10].[#8:5],['rule1104']
85,[#16:1].[#6:2].[#6:3]-[#8:4]>>[#6:3].[#6:2]-[#16+:1].[#8:4],['rule0251']
86,[#6:1]-[#7:2].[#6:3]1:[#6:4]-[#7:5]-[#6:6]:[#6:7]-[#6:8]-1>>([#6:1].[#7:2]).[#6:3]1:[#6:8]:[#6:7]:[#6:6]:[#7:5]:[#6:4]-1,['rule0799']
87,[#8:1]-[#6:2]-[#17:3]>>[#17:3].[#6:2]=[#8:1],['rule0913']
88,[#7:1]-[#6:2]-[#6:3]-[#7:4].[#8:5]>>[#6:2]-[#6:3]=[#8:5].[#7:1].[#7:4],['rule1038']
89,[#6:1].[#6:2]1:[#6:3]:[#6:4]:[#6:5]:[#7+:6]:[#6:7]:1.[#8:8]>>[#6:2]1=[#6:7]-[#7+0:6]-[#6:5]=[#6:4]-[#6:3]-1.[#6:1]=[#8:8],['rule0581']
90,[#6:1]1:[#6:2]-[#7:3]-[#6:4]:[#6:5]-[#6:6]-1.[#6:7]=[#7+:8]>>[#6:7]-[#7+0:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7:3]:[#6:2]-1,['rule0702']
91,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]=[#7+:8]>>[#6:7]-[#7+0:8].[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1,['rule0331']
92,[#6:1]-[#6:2]-[#16:3].[#6:4]=[#8:5].[#8:6].[#8:7]-[#15:8]>>[#16:3].[#8:6]-[#15:8].[#8:5]-[#6:4]-[#6:1]-[#6:2]-[#8:7],['rule1048']
93,[#6:1]-[#8:2].[#6:3]-[#8:4].[#6:5]=[#8:6].[#8:7]>>([#6:1].[#8:2]).[#6:3]-[#6:5]-[#8:6].[#8:4]=[#8:7],['rule0751']
94,[#6:1]-[#6:2]=[#8:3].[#7:4]>>[#6:1]=[#6:2]-[#7:4].[#8:3],['rule0487']
95,[#6:1]-[#7+:2].[#8:3].[#8:4]=[#8:5]>>[#6:1]=[#8:3].[#7+0:2].[#8:4]-[#8:5],['rule1084']
96,[#6:1]1:[#6:2]:[#6:3]:[#7:4]:[#6:5]:[#6:6]:1.[#6:7]1=[#6:8]-[#7:9]-[#6:10]=[#6:11]-[#6:12]-1.[#8:13]=[#8:14]>>[#6:11]1:[#6:12]:[#6:7]:[#6:8]:[#7+:9]:[#6:10]:1.[#8:13]=[#6:3]-[#7:4]-[#6:5]=[#6:6]-[#6:1]-[#6:2]=[#8:14],['rule0687']
97,[#6:1]-[#7:2].[#8:3].[#8:4]-[#15:5]>>([#7:2].[#6:1]-[#8:4]).[#8:3]-[#15:5],['rule0345']
98,([#8:1].[#6:2]-[#8:3])>>([#6:2].[#8:1]-[#8:3]),['rule0589']
99,([#8:1].[#6:2]-[#8:3]).[#6:4]-[#6:5]=[#8:6]>>([#8:3].[#6:2]-[#6:4]-[#6:5](-[#8:1])-[#8:6]),['rule0559']
100,([#6:1]-[#7:2].[#6:3]-[#8:4]).[#7:5].[#8:6]-[#15:7]>>([#6:1]-[#7:5].[#6:3]-[#7:2]).[#8:6].[#8:4]-[#15:7],['rule0643']
101,[#8:1].[#8:2]=[#16:3]>>[#16:3].[#8:1]-[#8:2],['rule0654']
102,[#6:1]-[#6:2](-[#8:3])-[#6:4]-[#8:5].[#7:6]>>[#7:6]-[#6:4]-[#6:2]-[#6:1]-[#8:3].[#8:5],['rule1025']
103,[#6:1]-[#7:2].[#6:3]=[#8:4]>>[#6:3]-[#7:2].[#6:1]=[#8:4],"['rule0030', 'rule0031', 'rule0065']"
104,([#16:1].[#16:2]).[#6:3]1:[#6:4]:[#6:5]:[#6:6]:[#7+:7]:[#6:8]:1>>[#16:1]-[#16:2].[#6:3]1=[#6:8]-[#7+0:7]-[#6:6]=[#6:5]-[#6:4]-1,['rule0203']
105,[#16:1].[#16:2].[#16:3]-[#16:4]>>[#16:3].[#16:4].[#16:1]-[#16:2],['rule0272']
106,[#16:1].[#6:2]-[#17:3]>>[#17:3].[#6:2]-[#16:1],['rule0458']
107,[#6:1]-[#7+:2].[#7:3]>>[#6:1]-[#7+:3].[#7+0:2],['rule0516']
108,[#6:1]-[#6:2]-[#6:3]=[#8:4].[#6:5]1=[#6:6]-[#7:7]-[#6:8]=[#6:9]-[#6:10]-1>>[#6:1]-[#6:3](-[#6:2])-[#8:4].[#6:5]1:[#6:10]:[#6:9]:[#6:8]:[#7+:7]:[#6:6]:1,['rule0348']
109,[#6:1]-[#8:2].[#6:3]=[#8:4].[#6:5]=[#8:6].[#8:7]>>[#6:1]-[#6:3]-[#8:4].[#6:5]-[#8:6].[#8:2]=[#8:7],['rule0663']
110,[#6:1].[#6:2]1:[#7:3]:[#6:4]:[#6:5]:[#7:6]:[#6:7]-1.[#8:8]>>[#6:1]-[#8:8].[#6:2]1:[#6:7]-[#7:6]-[#6:5]:[#6:4]-[#7:3]-1,['rule0696']
111,([#6:1].[#8:2]).[#6:3]-[#6:4]-[#8:5].[#8:6]=[#8:7]>>[#6:1]-[#8:2].[#6:3]-[#8:6].[#6:4]=[#8:5].[#8:7],['rule0752']
112,[#6:1]-[#8:2].[#8:3]=[#6:4]1-[#6:5]=[#6:6]-[#6:7](=[#8:8])-[#6:9]=[#6:10]-1>>[#6:1]=[#8:2].[#8:3]-[#6:4]1:[#6:10]:[#6:9]:[#6:7](-[#8:8]):[#6:6]:[#6:5]:1,['rule0467']
113,([#8:1].[#6:2]=[#6:3]-[#6:4]-[#8:5])>>[#6:4]=[#6:3]-[#6:2]-[#8:1].[#8:5],['rule0851']
114,[#16:1]-[#16:2].[#8:3].[#8:4]>>[#16:1].[#16:2].[#8:3]-[#8:4],['rule0792']
115,[#6:1].[#6:2]1=[#6:3]-[#7:4]-[#6:5]=[#6:6]-[#6:7]-1.[#8:8]=[#6:9]-[#8:10]>>[#6:2]1:[#6:7]:[#6:6]:[#6:5]:[#7+:4]:[#6:3]:1.[#6:1]=[#6:9].[#8:10].[#8:8],['rule1201']
116,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#6:7]:[#6:8]1:[#6:9]:[#6:10]:[#6:11]:[#7:12]:1.[#8:13]=[#8:14]>>[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1.[#7:12]-[#6:11]:[#6:10]-[#6:9]:[#6:8](-[#8:13]):[#6:7]-[#8:14],['rule1120']
117,[#6:1]-[#8:2].[#8:3]-[#16:4]>>[#6:1]-[#16:4]=[#8:3].[#8:2],['rule0740']
118,[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#6:8]-[#6:9]-[#6:10]-[#6:11]-[#6:12]-[#8:13]>>([#6:12]=[#6:11].[#6:1]=[#6:2].[#6:8]=[#6:7].[#6:10]=[#6:9].[#6:3]=[#6:4].[#6:5]=[#6:6]).[#8:13],['rule0861']
119,([#8:1].[#8:2]-[#6:3]-[#6:4](-[#8:5])-[#6:6](-[#8:7])-[#6:8]=[#8:9])>>([#8:2].[#6:3]=[#6:4]-[#6:6](=[#8:7])-[#6:8](-[#8:1])-[#8:9]).[#8:5],['rule0897']
120,[#8:1]-[#6:2]1-[#6:3]=[#6:4]-[#8:5]-[#6:6]:[#6:7]-1>>[#6:3]1:[#6:4]:[#8+:5]:[#6:6]:[#6:7]:[#6:2]:1.[#8:1],['rule0658']
121,[#6:1].[#8:2].[#8:3]=[#8:4]>>[#6:1]-[#8:2].[#8:3]-[#8:4],['rule0145']
122,[#16:1]-[#16:2].[#6:3]1:[#6:4]-[#7:5]-[#6:6]:[#6:7]-[#7:8]-1>>[#16:1].[#16:2].[#6:3]1:[#6:4]:[#7:5]:[#6:6]:[#6:7]:[#7:8]:1,['rule1016']
123,[#6:1]-[#8:2].[#6:3]1:[#7:4]:[#6:5]:[#6:6]:[#7:7]:[#6:8]-1>>[#6:3]1:[#6:8]-[#7:7]-[#6:6]:[#6:5]-[#7:4]-1.[#6:1]=[#8:2],['rule0498']
124,[#16:1].[#6:2]-[#7:3]>>[#6:2]-[#16:1].[#7:3],"['rule0041', 'rule0075', 'rule0284']"
125,[#6:1]=[#6:2].[#8:3]-[#6:4]1:[#6:5]:[#6:6]:[#6:7](-[#8:8]):[#6:9]:[#6:10]:1>>[#6:1]-[#6:2].[#8:3]=[#6:4]1-[#6:10]=[#6:9]-[#6:7](=[#8:8])-[#6:6]:[#6:5]-1,['rule0412']
126,[#6:1].[#6:2]-[#8:3].[#8:4]-[#15:5]>>[#6:1]-[#6:2].[#8:4].[#8:3]-[#15:5],['rule0356']
127,([#6:1]-[#6:2].[#6:3]=[#6:4](-[#6:5])-[#6:6].[#6:7]-[#6:8]=[#6:9]-[#6:10]-[#8:11])>>[#6:1]-[#6:3]-[#6:4](-[#6:5]-[#6:10](-[#6:2])-[#6:6])-[#6:9]-[#6:8]=[#6:7].[#8:11],['rule0535']
128,[#6:1]-[#8:2].[Co-3:3]>>[#6:1]-[Co-2:3].[#8:2],['rule0769']
129,([#6:1].[#6:2]:[#6:3]-[#8:4]).[#6:5]1=[#6:6]-[#7:7]-[#6:8]=[#6:9]-[#6:10]-1.[#8:11]=[#8:12]>>([#6:1]-[#8:4].[#6:3]:[#6:2]-[#8:11]).[#6:5]1:[#6:10]:[#6:9]:[#6:8]:[#7+:7]:[#6:6]:1.[#8:12],['rule1005']
130,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#7:7].[#8:8]=[#8:9]>>[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1.[#7+:7]-[#8:8].[#8:9],['rule0326']
131,[#6:1].[#8:2]-[#8:3]>>[#6:1]-[#8:2].[#8:3],['rule1165']
132,[#16:1].[#6:2]-[#7:3]:[#6:4]=[#7:5]>>[#6:2]-[#16+:1].[#7:3]:[#6:4]-[#7:5],['rule0421']
