data,model,neg_multiple,sim_split,metric,mean,ci_lower,ci_upper,id
rcmcs,bom,3,"(0.0, 0.4)",binary_recall,0.5160096938269743,0.5023273842023842,0.5319850967599329,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,3,"(0.0, 0.4)",accuracy,0.7935457382164559,0.7850755460666776,0.8023690261126621,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,3,"(0.0, 0.4)",roc_auc,0.8397632050799576,0.8317200946599713,0.849009109400509,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.8, 1)",f1,0.8210853846266263,0.8067214857988083,0.8350897056766556,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.8, 1)",binary_precision,0.7109051571420728,0.695480880059665,0.7276676936003361,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.8, 1)",binary_recall,0.9679080128426009,0.963061148948771,0.9790807091415588,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.8, 1)",accuracy,0.9407417346500642,0.9354390296264491,0.9453708673250322,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.8, 1)",roc_auc,0.9865036652209905,0.983532169435254,0.989022005064733,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.6, 0.8)",f1,0.8120215344513856,0.8000968285213407,0.8201375902001761,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.6, 0.8)",binary_precision,0.7227765197354157,0.7072015337718915,0.7436094429192405,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.6, 0.8)",binary_recall,0.9251072280844707,0.9162016216952849,0.9393004442827033,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.6, 0.8)",accuracy,0.9361347202841557,0.9285360903209439,0.9400291767093746,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.6, 0.8)",roc_auc,0.9694203499225373,0.9649325678048026,0.9730301003999654,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.4, 0.6)",f1,0.7037407396387316,0.6891478023270542,0.7235918078023341,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.4, 0.6)",binary_precision,0.691737256899447,0.6685475373682921,0.7120991659095997,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.4, 0.6)",binary_recall,0.7047516248096135,0.6851471347399484,0.7288193808304201,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.4, 0.6)",accuracy,0.9109141605257915,0.9055467038438558,0.9162666799442342,ff90895a6070499b8fdcdc0982526885
