batch_averaged_test/ce,epoch,step,train_loss
,0,49,1459.573486328125
,1,99,819.4176025390625
,1,149,494.2876281738281
,2,199,427.7464599609375
,2,249,265.2969970703125
,3,299,119.33816528320312
,4,349,114.68467712402344
,4,399,74.34070587158203
,5,449,89.44862365722656
,5,499,156.502685546875
,6,549,110.68145751953125
,7,599,31.224376678466797
,7,649,62.166988372802734
,8,699,31.410564422607422
,8,749,41.4632682800293
,9,799,40.80424880981445
,10,849,31.64422607421875
,10,899,29.555870056152344
,11,949,29.023054122924805
,11,999,41.397300720214844
,12,1049,14.56596565246582
,13,1099,56.49474334716797
,13,1149,57.828121185302734
,14,1199,58.69465255737305
,14,1249,35.95313262939453
,15,1299,53.65584945678711
,16,1349,44.62807846069336
,16,1399,29.56861686706543
,17,1449,24.102266311645508
,17,1499,38.62118911743164
,18,1549,59.74213409423828
,19,1599,70.53072357177734
,19,1649,69.39354705810547
,20,1699,33.024200439453125
,20,1749,6.981675624847412
,21,1799,27.925880432128906
,22,1849,51.193580627441406
,22,1899,44.01085662841797
,23,1949,28.109107971191406
,23,1999,10.94581413269043
,24,2049,22.194561004638672
,24,2099,0.12384180724620819
,25,2149,11.062108993530273
,26,2199,44.80245590209961
,26,2249,23.350833892822266
,27,2299,22.068565368652344
,27,2349,29.275972366333008
,28,2399,25.264217376708984
,29,2449,29.085248947143555
,29,2499,35.07545471191406
,30,2549,10.997296333312988
,30,2599,37.234771728515625
,31,2649,29.4544620513916
,32,2699,14.261590957641602
,32,2749,27.259906768798828
,33,2799,4.649874687194824
,33,2849,35.687625885009766
,34,2899,17.394027709960938
,35,2949,6.706605911254883
,35,2999,28.375404357910156
,36,3049,4.91756534576416
,36,3099,5.196634292602539
,37,3149,7.504819869995117
,38,3199,25.46628761291504
,38,3249,34.53351593017578
,39,3299,15.191352844238281
,39,3349,26.058860778808594
,40,3399,32.49536895751953
,41,3449,46.370147705078125
,41,3499,4.682944297790527
,42,3549,10.03735065460205
,42,3599,25.14928436279297
,43,3649,14.254014015197754
,44,3699,25.986581802368164
,44,3749,39.15238952636719
,45,3799,26.604677200317383
,45,3849,12.055723190307617
,46,3899,27.06058120727539
,47,3949,26.83409881591797
,47,3999,25.186508178710938
,48,4049,16.155189514160156
,48,4099,2.7539620399475098
,49,4149,16.156831741333008
,49,4199,0.09081724286079407
,50,4249,2.429781198501587
,51,4299,23.11363410949707
,51,4349,3.1300666332244873
,52,4399,13.502989768981934
,52,4449,8.095755577087402
,53,4499,3.389153003692627
,54,4549,15.700271606445312
,54,4599,45.829551696777344
,55,4649,1.8799521923065186
,55,4699,19.70281982421875
,56,4749,14.421510696411133
,57,4799,13.718194961547852
,57,4849,5.0557074546813965
,58,4899,0.9327429533004761
,58,4949,11.40136432647705
,59,4999,2.598616600036621
,60,5049,3.662057876586914
,60,5099,10.908763885498047
,61,5149,0.28325605392456055
,61,5199,1.4146902561187744
,62,5249,1.196023941040039
,63,5299,7.5487189292907715
,63,5349,18.4539794921875
,64,5399,10.167726516723633
,64,5449,16.863218307495117
,65,5499,24.764331817626953
,66,5549,11.264867782592773
,66,5599,1.6588202714920044
,67,5649,1.2458181381225586
,67,5699,8.18211555480957
,68,5749,1.8832283020019531
,69,5799,13.845866203308105
,69,5849,27.744464874267578
,70,5899,17.42029571533203
,70,5949,0.2525731921195984
,71,5999,21.54802894592285
,72,6049,15.384444236755371
,72,6099,16.817352294921875
,73,6149,16.50503921508789
,73,6199,1.4343762397766113
,74,6249,14.113381385803223
,74,6299,0.02069350704550743
,75,6349,0.3892374634742737
,76,6399,0.6282357573509216
,76,6449,1.0849279165267944
,77,6499,9.922179222106934
,77,6549,5.434826850891113
,78,6599,0.6675897240638733
,79,6649,5.073361873626709
,79,6699,24.790929794311523
,80,6749,0.4426872432231903
,80,6799,20.682971954345703
,81,6849,10.01795768737793
,82,6899,20.347517013549805
,82,6949,0.7908391356468201
,83,6999,0.14448724687099457
,83,7049,1.7274582386016846
,84,7099,0.49583980441093445
,85,7149,0.4765547513961792
,85,7199,1.2482314109802246
,86,7249,0.08735629171133041
,86,7299,0.23312628269195557
,87,7349,0.7323111295700073
,88,7399,1.3432385921478271
,88,7449,12.309490203857422
,89,7499,0.7663952112197876
,89,7549,10.37650203704834
,90,7599,20.567455291748047
,91,7649,2.9943108558654785
,91,7699,0.6623114943504333
,92,7749,0.33442261815071106
,92,7799,1.6995004415512085
,93,7849,0.8203573226928711
,94,7899,9.96835708618164
,94,7949,24.628135681152344
,95,7999,10.541014671325684
,95,8049,0.28066888451576233
,96,8099,19.955320358276367
,97,8149,13.581181526184082
,97,8199,1.4327411651611328
,98,8249,9.567337989807129
,98,8299,0.29432666301727295
,99,8349,13.928016662597656
,99,8399,0.017990324646234512
5.162472724914551,100,8400,
