batch_averaged_test/ce,epoch,step,train_loss
,0,49,1734.673583984375
,1,99,1109.704833984375
,1,149,814.3351440429688
,2,199,647.5302734375
,2,249,455.589599609375
,3,299,254.9026336669922
,4,349,235.43994140625
,4,399,124.52467346191406
,5,449,90.53697204589844
,5,499,109.265869140625
,6,549,98.04739379882812
,7,599,33.71167755126953
,7,649,29.08277130126953
,8,699,20.948440551757812
,8,749,80.84695434570312
,9,799,46.24004364013672
,10,849,18.50897979736328
,10,899,8.872392654418945
,11,949,34.15510559082031
,11,999,12.161354064941406
,12,1049,17.596874237060547
,13,1099,9.834098815917969
,13,1149,6.727081298828125
,14,1199,1.7230184078216553
,14,1249,8.612882614135742
,15,1299,23.398643493652344
,16,1349,17.328414916992188
,16,1399,23.78829574584961
,17,1449,41.771873474121094
,17,1499,2.2078633308410645
,18,1549,5.485899925231934
,19,1599,10.626220703125
,19,1649,22.06879425048828
,20,1699,5.737615585327148
,20,1749,1.661402940750122
,21,1799,3.6319541931152344
,22,1849,2.802809715270996
,22,1899,1.0128381252288818
,23,1949,0.547207236289978
,23,1999,0.5578170418739319
,24,2049,0.9142241477966309
,24,2099,0.16175946593284607
,25,2149,0.575989305973053
,26,2199,0.8015665411949158
,26,2249,1.8194619417190552
,27,2299,1.0608876943588257
,27,2349,0.5051344633102417
,28,2399,0.43393588066101074
,29,2449,0.7138960361480713
,29,2499,0.5021692514419556
,30,2549,0.5972223281860352
,30,2599,0.7484371066093445
,31,2649,0.6997017860412598
,32,2699,0.42522576451301575
,32,2749,0.3336413502693176
,33,2799,0.3069188892841339
,33,2849,0.21575185656547546
,34,2899,0.2821528911590576
,35,2949,1.0559009313583374
,35,2999,0.27117207646369934
,36,3049,0.24725130200386047
,36,3099,0.3197339177131653
,37,3149,0.3116391897201538
,38,3199,0.3672858476638794
,38,3249,0.14601770043373108
,39,3299,0.08061866462230682
,39,3349,0.1575632393360138
,40,3399,0.46515557169914246
,41,3449,0.38431450724601746
,41,3499,0.22730082273483276
,42,3549,0.17023755609989166
,42,3599,0.14842887222766876
,43,3649,0.3365126848220825
,44,3699,0.19309091567993164
,44,3749,0.3375236392021179
,45,3799,0.13623425364494324
,45,3849,0.11143496632575989
,46,3899,0.2172415554523468
,47,3949,0.10635676980018616
,47,3999,0.11430354416370392
,48,4049,0.06811192631721497
,48,4099,0.09045770764350891
,49,4149,0.14111483097076416
,49,4199,0.017615750432014465
,50,4249,0.10937059670686722
,51,4299,0.13988204300403595
,51,4349,0.19362390041351318
,52,4399,0.16606366634368896
,52,4449,0.09411737322807312
,53,4499,0.08800848573446274
,54,4549,0.09636401385068893
,54,4599,0.0999884381890297
,55,4649,0.1284402310848236
,55,4699,0.1664438247680664
,56,4749,0.13285335898399353
,57,4799,0.10292955487966537
,57,4849,0.07921816408634186
,58,4899,0.07908301055431366
,58,4949,0.06313177943229675
,59,4999,0.08098656684160233
,60,5049,0.08950729668140411
,60,5099,0.09729782491922379
,61,5149,0.07671628892421722
,61,5199,0.10390821844339371
,62,5249,0.11500488221645355
,63,5299,0.12326648831367493
,63,5349,0.054989710450172424
,64,5399,0.030041920021176338
,64,5449,0.059523023664951324
,65,5499,0.1429629921913147
,66,5549,0.14124712347984314
,66,5599,0.08371301740407944
,67,5649,0.06801781058311462
,67,5699,0.05677039921283722
,68,5749,0.11893979460000992
,69,5799,0.07875008881092072
,69,5849,0.13190901279449463
,70,5899,0.0525108203291893
,70,5949,0.04154317453503609
,71,5999,0.08343727886676788
,72,6049,0.04254486784338951
,72,6099,0.048184674233198166
,73,6149,0.02945854514837265
,73,6199,0.038588330149650574
,74,6249,0.05982363969087601
,74,6299,0.006706295069307089
,75,6349,0.05027156323194504
,76,6399,0.06499683111906052
,76,6449,0.08542102575302124
,77,6499,0.07181745022535324
,77,6549,0.0429205521941185
,78,6599,0.03894665092229843
,79,6649,0.04424487054347992
,79,6699,0.04548264294862747
,80,6749,0.0555671751499176
,80,6799,0.07561032474040985
,81,6849,0.059425316751003265
,82,6899,0.04650510847568512
,82,6949,0.03860810399055481
,83,6999,0.037410758435726166
,83,7049,0.029035747051239014
,84,7099,0.03802792727947235
,85,7149,0.039172131568193436
,85,7199,0.04996150732040405
,86,7249,0.03613828122615814
,86,7299,0.04981566220521927
,87,7349,0.05664816498756409
,88,7399,0.05658610910177231
,88,7449,0.026818284764885902
,89,7499,0.014928879216313362
,89,7549,0.029792413115501404
,90,7599,0.0670442283153534
,91,7649,0.06844533979892731
,91,7699,0.040444813668727875
,92,7749,0.03502076119184494
,92,7799,0.02866681106388569
,93,7849,0.05752354487776756
,94,7899,0.04110407829284668
,94,7949,0.06672558188438416
,95,7999,0.026174306869506836
,95,8049,0.020419158041477203
,96,8099,0.04087565094232559
,97,8149,0.02180541306734085
,97,8199,0.02498708665370941
,98,8249,0.015107724815607071
,98,8299,0.0204278863966465
,99,8349,0.0300329327583313
,99,8399,0.0032723331823945045
5.132776737213135,100,8400,
