hp_idx	mean_train_loss	std_train_loss	mean_val_loss	std_val_loss	mean_fit_time	train_loss_curve	val_loss_curve	seed	n_splits	lr	max_epochs	batch_size	optimizer__weight_decay	module__scl_embeds	module__n_factors	neg_multiple	user_embeds	item_embeds
2	0.19046458369166946	0.0003126479074602929	0.48276471684630884	0.006371208917648539	54034.09162131548	[0.6941507128312256, 0.602111182161328, 0.5282074485191812, 0.4565803843270702, 0.3941404618318507, 0.34424698278069077, 0.30646352251006703, 0.2786583833241192, 0.2583681827840688, 0.2435052796533899, 0.23249154313573697, 0.22423315337860045, 0.21792038013901044, 0.21301223423956747, 0.20914187707016701, 0.20602906451039596, 0.20349310884236177, 0.2014004456653646, 0.19965676804883703, 0.1981897677965142, 0.19693722350583398, 0.19586087778888064, 0.19492332776160276, 0.19409728154125358, 0.1933769908654009, 0.19273877945587062, 0.19216901048449045, 0.1916565600477032, 0.19119124133620233, 0.19076975526861628]	[0.693727864912062, 0.6901549412792934, 0.6738342451917264, 0.647073986195462, 0.6193525052188715, 0.595251448009606, 0.5758656957089068, 0.5606264623624462, 0.5487132617608929, 0.5392699891175979, 0.5316896803616297, 0.5254437890042722, 0.520254662777091, 0.5158694340502257, 0.5120696011401, 0.5087752174976823, 0.5058895368172434, 0.503338290031105, 0.5010853118213254, 0.4990674072794078, 0.49722747544221807, 0.49552234428085923, 0.4939541004919436, 0.49251526370557736, 0.49119851415182325, 0.48997490303829694, 0.48884208405733387, 0.48778197520557953, 0.48678670128881235, 0.4858595957471566]	1234	5	0.005	7500	5	5e-05	True	100	1		
1	0.19097644434426195	0.00033704541844941364	0.4858084195332328	0.007150732125883807	29812.361037834176	[0.6957377242640808, 0.6034162619687391, 0.530317678804442, 0.4592534002016509, 0.3970666072246703, 0.3471635955522631, 0.30911848239605, 0.2809326637879292, 0.2602618935421361, 0.2450888542152316, 0.23384246563035258, 0.22540653545934802, 0.2189590580710416, 0.21393924442473755, 0.20996676363802075, 0.2067654028123501, 0.20415589503296988, 0.20200675657715883, 0.20021153126880178, 0.19869521466824105, 0.19740580670136115, 0.1962887942807267, 0.19531410208269345, 0.19446259161559454, 0.19371319997736572, 0.1930531824929184, 0.1924590085082772, 0.19192631641133648, 0.19144405837991385, 0.19100033687612167]	[0.6960790395389146, 0.6919754531571191, 0.675568836423468, 0.6487185698730258, 0.6210950781583091, 0.597234778171378, 0.5779240885559394, 0.5627243532296867, 0.5508386048300968, 0.541414446064404, 0.5338285164826118, 0.5277140453761938, 0.5226887516221221, 0.5183890355919263, 0.5146988496054018, 0.5115246731929112, 0.5087524599045428, 0.5062936907606986, 0.5041604374396905, 0.5022414876229562, 0.5005025419219242, 0.4989130318425487, 0.4974739056286937, 0.4961270987553082, 0.49487728036874934, 0.49372632840632, 0.4926563112537645, 0.4916600517646217, 0.49070663615496446, 0.48980712351924127]	1234	5	0.005	7500	5	5e-05	True	50	1		
0	0.19286121273882353	0.00034032528612383924	0.4960347188699079	0.00689860561641111	22672.802221624926	[0.6989714086385734, 0.607548122270367, 0.5378930897523577, 0.4695753385084909, 0.40873183433231325, 0.35888151873537016, 0.320070907798116, 0.29066681140536627, 0.26868648207930973, 0.2523310730697279, 0.24015547207823687, 0.23097188681872052, 0.22390537314379635, 0.21836369751522747, 0.213984100627854, 0.2104789091752829, 0.20761653937351626, 0.20525961516789729, 0.20329687389217335, 0.20165397931652312, 0.20025156884202364, 0.1990379343544174, 0.1979808535666741, 0.19705885294379802, 0.19623950266144682, 0.19551415618461293, 0.19485463364167022, 0.19426460774498178, 0.1937381276141175, 0.1932640020195004]	[0.6974873377699894, 0.6941832757552233, 0.6794846953699262, 0.6546175006353473, 0.6293468277238896, 0.6076938986083161, 0.5900939673880446, 0.5761341550781149, 0.5649231216997864, 0.5559259350723845, 0.548677535689607, 0.5427405064811512, 0.5377256997559579, 0.5333723130014131, 0.5296504222095534, 0.5263763067065453, 0.5235056900161348, 0.5209286396687649, 0.5185965940834134, 0.5164541285430725, 0.5145094406413615, 0.5127254169727553, 0.5110584425335375, 0.5094824611011122, 0.5080356115241788, 0.5066584770950562, 0.5053652427634414, 0.5041731764988718, 0.5031029285303705, 0.5021005553511072]	1234	5	0.005	7500	5	5e-05	True	20	1		
