Bad rxns
Rd04d5299cd201c6c200346328add998ce327c9801ae1282c3f8f7813e2c6726d
Rf7ff59ddcdc110b9af3ea43d543cd170a4b9923d656abf003056d829d171fd53
Rb101a7aeeaf4010f545694faf25e8586000768c1d755f31bca2507ade9366e5e
Rdf7149b15374133c32a1583d965efdb4ba95de5e7c5b13d9bcd024d9b3b6982e
R8f93c068215d20adfce9028194c25bc01d6f3329e71c850e6e2d08274a57c50b
R0e56fd149630e7720aed0b55dad7eefd4dec80ccc9a87cf1612f817152aded73
R37cdc5bb6a1662eb3f02aeb966223340b151e323486293f83f3c3d5ad3eaaf9d
Rcad19d6340313ceefd995d65325bd9536a3b28b784f4868e9b028acf36ae2457
R8e203f450c608957f834c11dee7609b54e88453f4323514ca91fdc59f693e15c
R116e270f2f450a89b896c81daf3fade0743f13f978d3a72d87d297d652b20f5b
Rb80a7e7215143519c3e75025946473cd394faebbbfd53206c54c76c3c09ec8d0
Rbf6854a08b93281391609a5a44b86212b974abb6917403bf6c3879dff83e0e5b
R5efc916d761f752f1a348f860f80137b2c338857487a8f2f7e621562443ddc4b
R5625fe760ec57f124fa92422f13f88608a6784c38fb6b99436d9a51067099b12
R5e206b4e0cd24983862fee262b7fea36515555a66618944809533b22dcc5fb0b
R231466ac921f6b5374fc9b9872f85e3c116c8feb7c42d9a6694ce2b56072928c
Rd6fc6b49b0da356128ad99439902c69528e7ae24dca8f194f72042bb659f5ca6
R40cfaee0d80bcee492bbb4e39de2803fec374bcec5db7cd03c34fb5905b8fe09
Rf0640851a2454ccd366c8706bd132b61f236e6e21307eda335bb8de12b5822bc
R830be766244a45b01eb035ef2c88a6d4d335e6f0b9716d7d202b8d1a8eb26afb
Rca8ceadacb46dbed8b97668f27351c6dca0f1f5ed30f20737ec04f827040dc38
R8bf50cde54e7a521fc4ec77505d3ddde43851a51ea60d4045f954958b89372ef
Rf12ef38d5fe21ef81c06f125add48399250c8d2fcda36d207275aff22055e4f3
R77d6e780c0cd63d749dc282d511799e3577d7e8dc55c8a29e72b32fb3ff95d59
R45f358db6c85a8d4412357bdb3741abbbccbb4221bdfdf13d8de5db95b9e6140
Rdb701f9884eb6354d40de3a8d005c5f8901bca13a2af86bd87aff4ddbc0581ff
R49229ea4026a849dde6ed886ebe9a66878e82cf4aae01f28b4cd965040857f35
Ra3e4bb94d27a0c4743aa448f5a376925ec4963d903190487796964c11fc0d570
R7fde35576c20dc5707db26d8abf4fc84acb641092a8dfff4d5de1066256cdf45
R45432387544a205ed79912a8a2941254149c6db456047b747aafadaafa2dab88
R84644e2cdff8deef24baa7981f21b56ec45abef8de980fffaf8ea1c51335fd22
Re60b3573c3e524d3306b85372fec509e543ef85dbdb6e807f7ef32835fc90711
R44efa01a496954ccb8cb0c2b31213d3406ac66f7c46abc4f36f24789bdcac545
R8c8937720cf758830898b426f8e1618c3312ded3f83840305b81e05c597a5f63
R8a612192295da89bfecb7b07e26efea200892239f4cb2987bfd79378e5e98fde
Rfcaf0c1bd77a844207f19953db65ee0a0796134bace5416ebddc69b7b59d8a72
R8a660a06e7117f3dbb32a0375b571e299a163dd23697faa70fdfc7a603136d1a
Rf516d1ac1f31be9b0911e2093b77b0483f57318c04c42bd427014f4cf4901365
Rcebc6242412de0a4388a58c20ef00fdc86898ca89d475ecbcc9ce1f73478b3ac
R67e7537c95337e986575a1433ecd78dc1f3211d4d80816adf1425b1eba4d59ab
