0	9
1	19
2	20
3	23
4	24
5	25
6	26
7	27
8	28
10	30
11	31
12	33
13	36
14	37
15	40
16	42
17	43
18	44
21	45
22	46
29	47
32	48
34	65
35	70
38	72
39	73
41	75
49	76
50	81
51	83
52	87
53	88
54	91
55	92
56	93
57	94
58	95
59	98
60	99
61	101
62	104
63	107
64	116
66	119
67	121
68	124
69	126
71	127
74	132
77	138
78	139
79	140
80	143
82	144
84	149
85	150
86	158
89	162
90	163
96	165
97	167
100	168
102	169
103	172
105	173
106	178
108	183
109	185
110	186
111	193
112	195
113	196
114	200
115	202
117	203
118	205
120	206
122	213
123	217
125	225
128	228
129	229
130	230
131	231
133	234
134	237
135	239
136	240
137	242
141	245
142	246
145	247
146	248
147	251
148	258
151	261
152	266
153	271
154	272
155	275
156	276
157	277
159	280
160	283
161	284
164	286
166	290
170	291
171	294
174	297
175	301
176	304
177	307
179	309
180	313
181	316
182	326
184	329
187	330
188	333
189	334
190	336
191	339
192	340
194	344
197	346
198	353
199	356
201	359
204	360
207	362
208	363
209	365
210	371
211	388
212	390
214	395
215	397
216	399
218	404
219	405
220	408
221	412
222	414
223	416
224	419
226	420
227	423
232	424
233	426
235	430
236	432
238	433
241	434
243	436
244	437
249	438
250	440
252	441
253	442
254	443
255	444
256	446
257	447
259	448
260	449
262	451
263	455
264	456
265	457
267	458
268	459
269	460
270	461
273	462
274	464
278	465
279	467
281	468
282	469
285	482
287	489
288	503
289	506
292	507
293	508
295	513
296	523
298	527
299	538
300	542
302	555
303	567
305	568
306	573
308	576
310	579
311	581
312	582
314	588
315	591
317	592
318	594
319	595
320	599
321	600
322	602
323	604
324	605
325	607
327	608
328	614
331	617
332	620
335	623
337	624
338	630
341	663
342	667
343	668
345	670
347	672
348	673
349	684
350	686
351	693
352	696
354	698
355	702
357	704
358	710
361	712
364	714
366	715
367	724
368	737
369	741
370	755
372	758
373	759
374	763
375	764
376	765
377	775
378	783
379	786
380	790
381	795
382	809
383	810
384	811
385	812
386	815
387	816
389	817
391	818
392	819
393	827
394	829
396	833
398	861
400	864
401	872
402	877
403	896
406	897
407	899
409	903
410	906
411	908
413	911
415	922
417	924
418	929
421	930
422	933
425	935
427	941
428	942
429	943
431	944
435	948
439	949
445	952
450	953
452	962
453	968
454	969
463	971
466	976
470	977
471	981
472	987
473	989
474	990
475	991
476	1001
477	1003
478	1008
479	1014
480	1025
481	1026
483	1028
484	1029
485	1030
486	1036
487	1040
488	1042
490	1048
491	1055
492	1067
493	1070
494	1071
495	1072
496	1078
497	1079
498	1080
499	1081
500	1085
501	1089
502	1093
504	1100
505	1101
509	1108
510	1120
511	1128
512	1132
514	1133
515	1137
516	1140
517	1144
518	1150
519	1152
520	1155
521	1165
522	1166
524	1170
525	1172
526	1176
528	1178
529	1182
530	1183
531	1184
532	1186
533	1188
534	1195
535	1197
536	1199
537	1201
539	1202
540	1205
541	1211
543	1212
544	1213
545	1217
546	1221
547	1224
548	1226
549	1231
550	1233
551	1238
552	1241
553	1243
554	1247
556	1253
557	1257
558	1261
559	1266
560	1267
561	1274
562	1279
563	1280
564	1283
565	1285
566	1291
569	1292
570	1294
571	1295
572	1297
574	1298
575	1299
577	1311
578	1314
580	1316
583	1320
584	1325
585	1333
586	1335
587	1336
589	1341
590	1344
593	1357
596	1364
597	1368
598	1371
601	1372
603	1374
606	1375
609	1377
610	1380
611	1385
